date,action,price,shares,cash_after,portfolio_value_after
2024-04-22,buy,499.7200012207031,20.01120622663143,0.0,10000.0
2024-05-22,sell,529.8300170898438,20.01120622663143,10602.537737044519,10602.537737044519
2024-08-21,buy,560.6199951171875,18.91216479859633,-1.8189894035458565e-12,10602.537737044519
2024-08-28,sell,558.2999877929688,18.91216479859633,10558.661376194943,10558.661376194943
2024-11-25,buy,597.530029296875,17.67051170402184,0.0,10558.661376194943
2024-12-12,sell,604.3300170898438,17.67051170402184,10678.820640077804,10678.820640077804
2024-12-20,buy,591.1500244140625,18.0644848161217,0.0,10678.820640077804
2025-01-27,sell,599.3699951171875,18.0644848161217,10827.31017603337,10827.31017603337
2025-03-07,buy,575.9199829101562,18.800025172459478,0.0,10827.31017603337
2025-06-05,sell,593.0499877929688,18.800025172459478,11149.354699034599,11149.354699034599
2025-08-27,buy,646.6300048828125,17.242247676173292,0.0,11149.354699034599
2025-09-17,sell,659.1799926757812,17.242247676173292,11365.744696893917,11365.744696893917
2025-10-01,buy,668.4500122070312,17.003133352286838,0.0,11365.744696893917
2025-10-06,sell,671.6099853515625,17.003133352286838,11419.474141660026,11419.474141660026
2025-11-06,buy,670.3099975585938,17.036108939523636,0.0,11419.474141660026
2025-12-29,sell,687.8499755859375,17.036108939523636,11718.287118130705,11718.287118130705
2026-02-06,buy,690.6199951171875,16.967778519274255,0.0,11718.287118130705
2026-04-23,sell,708.4500122070312,16.967778519274255,12020.822899106048,12020.822899106048
